personDisplayName,firstName,middleName,lastName,jobTitle,company,bio,comments
"Peter Spier, manager of professional services, Fortrex Technologies",Peter,,Spier,manager of professional services,Fortrex Technologies,,
"Chris Babel, CEO, TRUSTe",Chris,,Babel,CEO,TRUSTe,,
"Ash Motiwala, CTO, Identropy",Ash,,Motiwala,CTO,Identropy,,
"Nathan McNeill, co-founder and chief strategy officer, Bomgar",Nathan,,McNeill,co-founder and chief strategy officer,Bomgar,,
"Rainer Enders, CTO of Americas, NCP Engineering",Rainer,,Enders,CTO of Americas,NCP Engineering,,
"Jeff Combs, director, recruiting at Acumin - US",Jeff,,Combs,"director,recruiting",Acumin - US,,
"Kevin Sanchez-Cherry, Office of the Chief Information Officer, U.S. Department of Education",Kevin,,Sanchez-Cherry,Office of the Chief Information Officer,U.S. Department of Education,,
"Lance James, director of intelligence, Vigilant",Lance,,James,director of intelligence,Vigilant,,
"John Stewart, VP, chief security officer at Cisco",John,,Stewart,"VP,chief security officer",Cisco,,
"Dan Srebnick, CISO, city of New York",Dan,,Srebnick,CISO,city of New York,,
"Andrew Browne, malware labs team leader, Lavasoft",Andrew,,Browne,malware labs team leader,Lavasoft,,
"Liam Lahey, online community manager, Partnerpedia",Liam,,Lahey,online community manager,Partnerpedia,,
"Cameron Byers, Astaro, Sophos sales engineer",Cameron,,Byers,sales engineer,Sophos Astaro ,,
"Dave Amsler, President and CIO, Foreground Security",Dave,,Amsler,President and CIO,Foreground Security,,
"Dave Meizlik, VP of marketing and business development, Dome9 Security",Dave,,Meizlik,VP of marketing and business development,Dome9 Security,,
"Ozzie Fonseca, senior director, Experian Data Breach Resolution",Ozzie,,Fonseca,senior director,Experian Data Breach Resolution,,
"Patrick Oliver Graf, general manager, NCP engineering",Patrick,Oliver,Graf,general manager,NCP engineering,,
"Sanjay Raja, virtualization security expert, HP Enterprise Security Products",Sanjay,,Raja,virtualization security expert,HP Enterprise Security Products,,
"Gil Zimmermann, co-founder and CEO, CloudLock",Gil,,Zimmermann,co-founder and CEO,CloudLock,,
"Zulfikar Ramzan, chief scientist, Sourcefire",Zulfikar,,Ramzan,chief scientist,Sourcefire,,
"Jim Ricotta, CEO, Verdasys",Jim,,Ricotta,CEO,Verdasys,,
"Avishai Wool, CTO, AlgoSec",Avishai,,Wool,CTO,AlgoSec,,
"Willie Rushton, researcher, Neohapsis",Willie,,Rushton,researcher,Neohapsis,,
"Johannes Ullrich, chief research officer, SANS Institute",Johannes,,Ullrich,chief research officer,SANS Institute,,
"Chirantan "CJ" Desai",Chirantan,,Desai,,,,
"Tomer Teller, security researcher and evangelist, Check Point Software Technologies",Tomer,,Teller,security researcher and evangelist,Check Point Software Technologies,,
"Avivah Litan, vice president and distinguished analyst, Gartner Research",Avivah,,Litan,vice president and distinguished analyst,Gartner Research,,
"Matt Ulery, director, product manager, NetIQ",Matt,,Ulery,"director,product manager",NetIQ,,
"Scott Emo, head of endpoint product marketing at Check Point Software Technologies",Scott,,Emo,head of endpoint product marketing,Check Point Software Technologies,,
"Jerry Irvine, CIO, Prescient Solutions",Jerry,,Irvine,CIO,Prescient Solutions,,
"Matt McKinley, senior solutions architect, Stonesoft",Matt,,McKinley,senior solutions architect,Stonesoft,,
"Rick JR Mayberry, consulting network and security architect, Torrey Point Group LLC",Rick,JR,Mayberry,consulting network and security architect,Torrey Point Group LLC,,
"Jeff Schmidt, founder and CEO, JAS Global Advisors",Jeff,,Schmidt,founder and CEO,JAS Global Advisors,,
"Mark Clancy, managing director, technology risk management, The Depository Trust & Clearing Corp.",Mark,,Clancy,"managing director,technology risk management",The Depository Trust & Clearing Corp,,
"Brian Anderson, CMO, BeyondTrust",Brian,,Anderson,CMO,BeyondTrust,,
"Scott Hagenus, VP, strategic relationships, GFI Software",Scott,,Hagenus,"VP,strategic relationships",GFI Software,,
"Swen Baumann, product manager, NCP Engineering",Swen,,Baumann,product manager,NCP Engineering,,
"Torsten George, vice president of worldwide marketing and products, Agiliance",Torsten,,George,vice president of worldwide marketing and products,Agiliance,,
"Devin Anderson, director of product management for security suite, LANDesk",Devin,,Anderson,"director of product management,security suite",LANDesk,,
"Michelle Drolet, founder and CEO, Towerwall",Michelle,,Drolet,founder and CEO,Towerwall,,
"Tom Murphy, CMO, Bradford Networks",Tom,,Murphy,CMO,Bradford Networks,,
Marcos Colón,Marcos,,Colón,,,,
"Anthony Di Bello, product marketing manager, Guidance Software",Anthony,Di,Bello,product marketing manager,Guidance Software,,
"Wolfgang Kandek, CTO, Qualys",Wolfgang,,Kandek,CTO,Qualys,,
"Enrique Salem, president and CEO, Symantec Corporation",Enrique,,Salem,president and CEO,Symantec Corporation,,
"Edward Roberts, director of marketing, Mykonos Software",Edward,,Roberts,director of marketing,Mykonos Software,,
"Brian Tokuyoshi, senior manager, encryption group, Symantec",Brian,,Tokuyoshi,"senior manager,encryption group",Symantec,,
"Curtis Staker, president and CEO, Confident Technologies",Curtis,,Staker,president and CEO,Confident Technologies,,
"Seth Bromberger, EVP of information sharing and government programs for the Energy Sector Security Consortium",Seth,,Bromberger,EVP of information sharing and government programs,the Energy Sector Security Consortium,,
"Jeffrey Brown, global information security program manager, GE Capital",Jeffrey,,Brown,global information security program manager,GE Capital,,
"Ross Kinder, senior security researcher, Dell SecureWorks",Ross,,Kinder,senior security researcher,Dell SecureWorks,,
"Mike Pereira, account executive, DISYS",Mike,,Pereira,account executive,DISYS,,
"Eric Green, program director, SC Magazine",Eric,,Green,program director,SC Magazine,,
"Tyler Lessard, CMO, Fixmo",Tyler,,Lessard,CMO,Fixmo,,
"Cameron Camp, security researcher, ESET",Cameron,,Camp,security researcher,ESET,,
"Jeff Combs, director of recruiting at Acumin - US",Jeff,,Combs,director of recruiting,Acumin - US,,
"Ken Sanofsky, general manager, North America, Paessler",Ken,,Sanofsky,"general manager,North America",Paessler,,
"David Pfeiffer, marketing director, mSeven Software",David,,Pfeiffer,marketing director,mSeven Software,,
"Mike Mitchell, VP, global network operations, American Express",Mike,,Mitchell,"VP,global network operations",American Express,,
"Ben Tomhave, principal consultant, LockPath",Ben,,Tomhave,principal consultant,LockPath,,
"Steven Rodin, CEO, Storagepipe Solutions",Steven,,Rodin,CEO,Storagepipe Solutions,,
"Michael Fey, SVP of advanced technology and field engineering at McAfee",Michael,,Fey,SVP of advanced technology and field engineering,McAfee,,
"Avivah Litan, VP, distinguished analyst at Gartner",Avivah,,Litan,"VP,distinguished analyst",Gartner,,
"Christine Arevalo, director of healthcare identity management, ID Experts",Christine,,Arevalo,director of healthcare identity management,ID Experts,,
Roo Howar,Roo,,Howar,,,,
"Andy Teichholz, senior e-discovery consultant for Daegis",Andy,,Teichholz,senior e-discovery consultant,Daegis,,
"Tim Nichols, VP of global marketing at Endace",Tim,,Nichols,VP of global marketing,Endace,,
"Pat Clawson, chairman and CEO, Lumension Security",Pat,,Clawson,chairman and CEO,Lumension Security,,
"Jason Clark, sales engineer director - U.S. channels at Fortinet",Jason,,Clark,sales engineer director - U.S. channels,Fortinet,,
Staff,,,,,,,
"Mark Kedgley, chief technical officer, New Net Technologies",Mark,,Kedgley,chief technical officer,New Net Technologies,,
"Bradley Anstis, VP of technical strategy, M86 Security",Bradley,,Anstis,VP of technical strategy,M86 Security,,
"Dan Geer, chief scientist emeritus at Verdasys",Dan,,Geer,chief scientist emeritus,Verdasys,,
"Michael Scovetta, director of advanced technology at a large media/entertainment company",Michael,,Scovetta,director of advanced technology,a large media/entertainment company,,
"David Holmes, technical marketing manager, F5 Networks",David,,Holmes,technical marketing manager,F5 Networks,,
"Josh Shaul, CTO, Application Security Inc.",Josh,,Shaul,CTO,Application Security Inc,,
"Chris Petersen, co-founder and CTO at LogRhythm",Chris,,Petersen,co-founder and CTO,LogRhythm,,
"Rainer Enders, CTO of the Americas, NCP Engineering",Rainer,,Enders,CTO of the Americas,NCP Engineering,,
"Tomer Teller, security researcher and evangelist at Check Point Software Technologies",Tomer,,Teller,security researcher and evangelist,Check Point Software Technologies,,
"Andrew Browne, leader of Lavasoft Malware Labs Team",Andrew,,Browne,,leader of Lavasoft Malware Labs Team,,
"Matt McKinley, U.S. director of product management, Stonesoft",Matt,,McKinley,U.S. director of product management,Stonesoft,,
"Robert M. Lee, U.S. Air Force cyberspace officer",Robert,M.,Lee,,U.S. Air Force cyberspace officer,,
"Matthew Dosmann, lieutenant colonel, U.S. Army",Matthew,,Dosmann,lieutenant colonel,U.S. Army,,
"Tracey Wilen-Daugenti, VP, managing director at the Apollo Research Institute",Tracey,,Wilen-Daugenti,"VP,managing director",the Apollo Research Institute,,
"Eugene Fredriksen, CISO, Tyco International",Eugene,,Fredriksen,CISO,Tyco International,,
"Darren Pauli, SC Magazine Australia",Darren,,Pauli,,SC Magazine Australia,,
"Barrie Hadfield, co-founder and CTO, SkyDox",Barrie,,Hadfield,co-founder and CTO,SkyDox,,
"Idan Shoham, chief technology officer, Hitachi ID Systems",Idan,,Shoham,chief technology officer,Hitachi ID Systems,,
"Bill Anderson, founder and CEO, Oculis Labs",Bill,,Anderson,founder and CEO,Oculis Labs,,
"Steven DeFino, director of infosec and networking, Training Camp",Steven,,DeFino,director of infosec and networking,Training Camp,,
Fahmida Y. Rashid,Fahmida,Y.,Rashid,,,,
"Kevin Pouché, partner and chief operating officer, K Logix",Kevin,,Pouché,partner and chief operating officer,K Logix,,
"Chris Benton, cloud security architect, CloudPassage",Chris,,Benton,cloud security architect,CloudPassage,,
"Garret Grajek, CTO, SecureAuth",Garret,,Grajek,CTO,SecureAuth,,
"Tim Nichols, VP of global marketing, Endace",Tim,,Nichols,VP of global marketing,Endace,,
"Roy Zisapel, president and CEO, Radware",Roy,,Zisapel,president and CEO,Radware,,
"Alex Lanstein, senior security researcher, FireEye",Alex,,Lanstein,senior security researcher,FireEye,,
"Jeff Combs, director of recruiting, Acumin",Jeff,,Combs,director of recruiting,Acumin,,
"Cameron Matthews, CTO at Sentek Global",Cameron,,Matthews,CTO,Sentek Global,,
"Christine Arevalo, director of health care identity management at ID Experts",Christine,,Arevalo,director of health care identity management,ID Experts,,
"Richard Bejtlich, CSO at Mandiant",Richard,,Bejtlich,CSO,Mandiant,,
David Cotriss,David,,Cotriss,,,,
"Vasu Ram, president and CTO, Content Raven",Vasu,,Ram,president and CTO,Content Raven,,
"Stephen Cobb, security evangelist, ESET",Stephen,,Cobb,security evangelist,ESET,,
"Chris Goodwin, CTO, LockPath",Chris,,Goodwin,CTO,LockPath,,
"S.H. Foss Jr., COO, NorseCorp",S.H.,,Foss Jr.,COO,NorseCorp,,
"Mike Curtis, vice president of technology strategy, Critical Watch",Mike,,Curtis,vice president of technology strategy,Critical Watch,,
"Adel Danesh, manager, enterprise systems at The Hospital for Sick Children (SickKids)",Adel,,Danesh,"manager,enterprise systems,The Hospital",Sick Children (SickKids),,
"Jerry Irvine, CIO and EVP of sales at Prescient Solutions",Jerry,,Irvine,CIO and EVP of sales,Prescient Solutions,,
"Chris Petersen, co-founder and CTO, LogRhythm",Chris,,Petersen,co-founder and CTO,LogRhythm,,
"Martin Roesch, founder and CTO, Sourcefire",Martin,,Roesch,founder and CTO,Sourcefire,,
"Walter Strycharz Jr., senior IS auditor University System of Maryland",Walter,,Strycharz Jr.,senior IS auditor ,University System of Maryland,,
"Raymond Choo, senior lecturer at the University of South Australia",Raymond,,Choo,senior lecturer,the University of South Australia,,
"Mark Clancy, managing director and CISO for The Depository Trust & Clearing Corp. (DTCC)",Mark,,Clancy,managing director and CISO,The Depository Trust & Clearing Corp. (DTCC),,
"Roy Samson, security advisor, Capgemini",Roy,,Samson,security advisor,Capgemini,,
"Tom Cross, director of security research, Lancope",Tom,,Cross,director of security research,Lancope,,
Danielle Walker,Danielle,,Walker,,,,
"Kurt Roemer, chief security strategist, Citrix",Kurt,,Roemer,chief security strategist,Citrix,,
"David Poellhuber, chief spaminator""",David ,,Poellhuber,chief spaminator,,,
"Lindsay Cournoyer, marketing manager, Magnet Forensics",Lindsay,,Cournoyer,marketing manager,Magnet Forensics,,
"Vaughn Regelin, director of marketing, Phoenix TS",Vaughn,,Regelin,director of marketing,Phoenix TS,,
"Bruce Wignall, CISO, Teleperformance Group",Bruce,,Wignall,CISO,Teleperformance Group,,
"Peter Falk, CEO, Halon Security",Peter,,Falk,CEO,Halon Security,,
"Ajay Gopindran, product marketing manager, ManageEngine",Ajay,,Gopindran,product marketing manager,ManageEngine,,
"Jeff Combs, director, Acumin U.S.",Jeff,,Combs,director,Acumin U.S,,
"Michael Vardal, Apple administrator, Sarcom",Michael,,Vardal,Apple administrator,Sarcom,,
"Richard Moulds, VP of strategy, Thales e-Security",Richard,,Moulds,VP of strategy,Thales e-Security,,
"Adel Danesh manager, enterprise systems, The Hospital for Sick Children, Toronto",Adel,Danesh,manager,Manager enterprise systems,"The Hospital, Sick Children, Toronto",,
"Jeffrey Brown, security standards and governance, GE Capital",Jeffrey,,Brown,security standards and governance,GE Capital,,
"Jody Ma Kissling, VP of marketing, Lancope",Jody,Ma,Kissling,VP of marketing,Lancope,,
"Gilad Parann-Nissany, founder and CEO, Porticor",Gilad,,Parann-Nissany,founder and CEO,Porticor,,
"Joona Airamo, CISO, Stonesoft",Joona,,Airamo,CISO,Stonesoft,,
"Kevin Franks, marketing communications manager, Lieberman Software",Kevin,,Franks,marketing communications manager,Lieberman Software,,
"Raman Kumar, director of technical support, Centrify",Raman,,Kumar,director of technical support,Centrify,,
"Carolyn Newburn, VP of marketing, HID Global Identity Assurance",Carolyn,,Newburn,VP of marketing,HID Global Identity Assurance,,
"Mike Dayton, SVP of security solutions, Axway",Mike,,Dayton,SVP of security solutions,Axway,,
"Rob Rachwald, director of security strategy, Imperva",Rob,,Rachwald,director of security strategy,Imperva,,
"David Frymier, vice president and CISO, Unisys Corporation",David,,Frymier,vice president and CISO,Unisys Corporation,,
"Christopher Williams, former Department of Defense",Christopher,,Williams,,former Department of Defense,,
"Dan Velez, director of defense programs, Raytheon Oakley Systems",Dan,,Velez,director of defense programs,Raytheon Oakley Systems,,
"Rob Greer, VP of enterprise mobility group, Symantec",Rob,,Greer,VP of enterprise mobility group,Symantec,,
"Paul Kenyon, co-founder and COO, Avecto",Paul,,Kenyon,co-founder and COO,Avecto,,
"Ted Swearingen, director of security, Neustar",Ted,,Swearingen,director of security,Neustar,,
"Marc Maiffret, chief technology officer, BeyondTrust",Marc,,Maiffret,chief technology officer,BeyondTrust,,
"Jeff Combs, information security recruiting expert with more than 12 years of experience.",Jeff,,Combs,information security recruiting expert with more than 12 years of experience,,,
"Frank Andrus, co-founder and CTO, Bradford Networks",Frank,,Andrus,co-founder and CTO,Bradford Networks,,
"David Balcar, security adviser practice manager at Novacoast",David,,Balcar,security adviser practice manager,Novacoast,,
"Joe Coyle, VP and CTO at Capgemini U.S.",Joe,,Coyle,VP and CTO,Capgemini U.S,,
Lucas Rivera,Lucas,,Rivera,,,,
"Michael Mitchell, VP, global data security, American Express",Michael,,Mitchell,"VP,global data security",American Express,,
"Andrew Wild, chief security officer, Qualys",Andrew,,Wild,chief security officer,Qualys,,
"Cameron Camp, reseracher, ESET",Cameron,,Camp,reseracher,ESET,,
"Patrick Jobin, technical writer, Storagepipe Solutions",Patrick,,Jobin,technical writer,Storagepipe Solutions,,
"Conrad Constantine, research engineer, AlienVault",Conrad,,Constantine,research engineer,AlienVault,,
"Grant Babb, proactive investigations program manager for Intel IT",Grant,,Babb,proactive investigations program manager,Intel IT,,
"Christopher Harrington, consulting security engineer at EMC",Christopher,,Harrington,consulting security engineer,EMC,,
"Jarno Limnéll, doctor of military sciences and director of cyber security at Stonesoft",Jarno,,Limnéll,doctor of military sciences and director of cyber security,Stonesoft,,
"Gidi Cohen, CEO and founder, Skybox Security",Gidi,,Cohen,CEO and founder,Skybox Security,,
"Peter George, president, General Dynamics Fidelis Cybersecurity Solutions",Peter,,George,president,General Dynamics Fidelis Cybersecurity Solutions,,
"Eugene Kaspersky, CEO, Kaspersky Lab",Eugene,,Kaspersky,CEO,Kaspersky Lab,,
"Michael Hamelin, chief security architect, Tufin Technologies",Michael,,Hamelin,chief security architect,Tufin Technologies,,
"Alex Horan, security strategist, CORE Security",Alex,,Horan,security strategist,CORE Security,,
"Joe Ferrara, CEO, Wombat Security Technologies",Joe,,Ferrara,CEO,Wombat Security Technologies,,
"Chenxi Wang, vice president and principal analyst, Forrester Research",Chenxi,,Wang,vice president and principal analyst,Forrester Research,,
"Marc Maiffret, CSO, Beyond Trust",Marc,,Maiffret,CSO,Beyond Trust,,
"Jeff Combs, LJ Kushner and Assoc.",Jeff,,Combs,,LJ Kushner and Assoc,,
"Scott Gode, senior director, Avanade",Scott,,Gode,senior director,Avanade,,
"Torsten George, VP of worldwide marketing and products, Agiliance",Torsten,,George,VP of worldwide marketing and products,Agiliance,,
"Alex Nehlebaeff, information security manager, Harley-Davidson Financial Services",Alex,,Nehlebaeff,information security manager,Harley-Davidson Financial Services,,
"Karen Purcell, founder and president, PK Electrical",Karen,,Purcell,founder and president,PK Electrical,,
Julie Sartain,Julie,,Sartain,,,,
"Theresa Masse, CISO, state of Oregon",Theresa,,Masse,CISO,state of Oregon,,
"Jack Danahy, director of advanced security, IBM",Jack,,Danahy,director of advanced security,IBM,,
"Kyle Adams, chief software architect, Mykonos at Juniper Networks",Kyle,,Adams,"chief software architect,Mykonos",Juniper Networks,,
"Tal Klein, senior director of products, Bromium",Tal,,Klein,senior director of products,Bromium,,
"Tom Clare, senior director of product marketing, Websense",Tom,,Clare,senior director of product marketing,Websense,,
"Rob Ayoub, security strategist, Fortinet",Rob,,Ayoub,security strategist,Fortinet,,
John Worrall,John,,Worrall,,,,
"Elad Yoran, CEO, Vaultive",Elad,,Yoran,CEO,Vaultive,,
"Chaitanya Sharma, advisory team lead, Secunia",Chaitanya,,Sharma,advisory team lead,Secunia,,
"Jerry Irvine, CIO & EVP of sales, Prescient Solutions",Jerry,,Irvine,CIO & EVP of sales,Prescient Solutions,,
"Kevin Jackson, VP/GM of cloud services at NJVC",Kevin,,Jackson,VP/GM of cloud services,NJVC,,
"Andy Kemshall CTO, SecurEnvoy",Andy,Kemshall,CTO,,SecurEnvoy,,
"Giovanni Vigna, founder and CTO, Lastline",Giovanni,,Vigna,founder and CTO,Lastline,,
"Mike Lang, senior network technician, University of Connecticut",Mike,,Lang,senior network technician,University of Connecticut,,
"ViJay Viswanathan, CISO, HD Supply",ViJay,,Viswanathan,CISO,HD Supply,,
"Mike Puterbaugh, vice president of marketing, BeyondTrust Software",Mike,,Puterbaugh,vice president of marketing,BeyondTrust Software,,
"Horacio Zambrano, senior director of product marketing, Mocana",Horacio,,Zambrano,senior director of product marketing,Mocana,,
"Lee Graves, VP, technical service and product management, eSoft",Lee,,Graves,"VP,technical service and product management",eSoft,,
"Alex Horan, senior product manager, CORE Security",Alex,,Horan,senior product manager,CORE Security,,
"Dwayne Melancon, CTO, Tripwire",Dwayne,,Melancon,CTO,Tripwire,,
"Frank Cabri, vice president of marketing, Centrify",Frank,,Cabri,vice president of marketing,Centrify,,
"Andrew Hoog, CIO, viaForensics",Andrew,,Hoog,CIO,viaForensics,,
"Patrick Sweeney, executive director, product management, Dell SonicWALL",Patrick,,Sweeney,"executive director,product management",Dell SonicWALL,,
"Marc Solomon, chief marketing officer, Sourcefire",Marc,,Solomon,chief marketing officer,Sourcefire,,
"Steve Hurst, director of security, AT&T",Steve,,Hurst,director of security,AT&T,,
"Philippe Courtot, CEO, Qualys",Philippe,,Courtot,CEO,Qualys,,
"Christopher Pogue, director of digital forensics and incident response, Trustwave",Christopher,,Pogue,director of digital forensics and incident response,Trustwave,,
"Michael Fey, worldwide CTO, McAfee Inc.",Michael,,Fey,worldwide CTO,McAfee Inc,,
"Carsten Eiram, chief research officer, Risk Based Security",Carsten,,Eiram,chief research officer,Risk Based Security,,
"Adam Weissman, director of legal technology, Glenmont Group",Adam,,Weissman,director of legal technology,Glenmont Group,,
"Geoff Webb, director solution strategy, NetIQ",Geoff,,Webb,director solution strategy,NetIQ,,
"Dominic Vogel, IT security analyst at a financial institution in British Columbia, Canada",Dominic,,Vogel,"IT security analyst,a financial institution in British Columbia",Canada,,
"Justin Somaini, former CISO, Yahoo",Justin,,Somaini,former CISO,Yahoo,,
"Rafael Diaz, CISO, state of Illinois",Rafael,,Diaz,CISO,state of Illinois,,
"Winn Schwartau, founder, Security Experts",Winn,,Schwartau,founder,Security Experts,,
"John South, chief security officer, Heartland Payment Systems",John,,South,chief security officer,Heartland Payment Systems,,
"Domingo Guerra, co-founder and president, Appthority",Domingo,,Guerra,co-founder and president,Appthority,,
"Joe Goldberg, security evangelist and senior manager of product marketing, Splunk",Joe,,Goldberg,security evangelist and senior manager of product marketing,Splunk,,
"Andrew Hay, chief evangelist, CloudPassage",Andrew,,Hay,chief evangelist,CloudPassage,,
"A.N. Ananth, CEO, EventTracker",A.N.,,Ananth,CEO,EventTracker,,
"Michael DuBose, cyber investigations practice leader, Kroll Advisory Solutions",Michael,,DuBose,cyber investigations practice leader,Kroll Advisory Solutions,,
"Gil Freidrich, VP technology, ForeScout",Gil,,Freidrich,VP technology,ForeScout,,
"Amy Pace, product marketing manager, SolarWinds",Amy,,Pace,product marketing manager,SolarWinds,,
"Paul Kenyon, co-founder and executive vice president of sales, Avecto",Paul,,Kenyon,co-founder and executive vice president of sales,Avecto,,
"David Nathans, CISO at large U.S. defense contractor",David,,Nathans,CISO,large U.S. defense contractor,,
"HD Moore, CSO, Rapid7",HD,,Moore,CSO,Rapid7,,
"Jeff Combs, L.J. Kushner & Associates",Jeff,,Combs,,L.J. Kushner & Associates,,
"Darryl Wilson, director of enterprise mobility, Dimension Data Americas",Darryl,,Wilson,director of enterprise mobility,Dimension Data Americas,,
"Ashvin Kamaraju, VP of product development and partner management, Vormetric",Ashvin,,Kamaraju,VP of product development and partner management,Vormetric,,
"Blake Frantz, director of benchmark development, security benchmarks division, Center for Internet Security (CIS)",Blake,,Frantz,"director of benchmark development,security benchmarks division",Center of Internet Security (CIS),,
"Jonathan Gossels, president and CEO, SystemExperts",Jonathan,,Gossels,president and CEO,SystemExperts,,
"Phillip Ferraro, CISO, DRS Integrated Defense Systems and Services",Phillip,,Ferraro,CISO,DRS Integrated Defense Systems and Services,,
"Johnnie Konstantas, senior director of product marketing, Juniper Cloud Security Solutions",Johnnie,,Konstantas,senior director of product marketing,Juniper Cloud Security Solutions,,
"Pat Calhoun, senior vice president and general manager of network security, McAfee",Pat,,Calhoun,senior vice president and general manager of network security,McAfee,,
"Jonathan Sander, director of identity and access management business development, Dell Software",Jonathan,,Sander,director of identity and access management business development,Dell Software,,
"Rick Leclerc, Bradford Networks",Rick,,Leclerc,,Bradford Networks,,
"Marc Maiffret, CTO, BeyondTrust",Marc,,Maiffret,CTO,BeyondTrust,,
"Veeral Gosalia, senior managing director, FTI Consulting",Veeral,,Gosalia,senior managing director,FTI Consulting,,
"Marty Edwards, director, ICS-CERT",Marty,,Edwards,director,ICS-CERT,,
"Holly Ridgeway, SVP and CISO enterprise systems at PNC",Holly,,Ridgeway,SVP and CISO enterprise systems,PNC,,
"Mark Ellis, CTO of Americas, Openwave Messaging",Mark,,Ellis,CTO of Americas,Openwave Messaging,,
"Allie Coyne, SC Magazine Australia",Allie,,Coyne,,SC Magazine Australia,,
"Curtis Levinson, United States cyber defense advisor, NATO",Curtis,,Levinson,United States cyber defense advisor,NATO,,
"Derrick Webber, penetration testing team lead, CGI Group Inc.",Derrick,,Webber,penetration testing team lead,CGI Group Inc,,
"Scott Wright, security coach and consultant",Scott,,Wright,security coach and consultant,,,
"Darrin Mourer, solution architect, Verdasys",Darrin,,Mourer,solution architect,Verdasys,,
"Lila Kee, chief product and marketing officer, GlobalSign",Lila,,Kee,chief product and marketing officer,GlobalSign,,
"Michael Bruemmer, vice president, Experian Data Breach Resolution",Michael,,Bruemmer,vice president,Experian Data Breach Resolution,,
"Eric Chiu, president and co-founder, HyTrust",Eric,,Chiu,president and co-founder,HyTrust,,
"Henry Helgeson, CEO, Merchant Warehouse",Henry,,Helgeson,CEO,Merchant Warehouse,,
"Chaitanya Sharma, advisory team lead at Secunia",Chaitanya,,Sharma,advisory team lead,Secunia,,
"Nick Hetrick, senior IS security operations analyst, WellSpan Health",Nick,,Hetrick,senior IS security operations analyst,WellSpan Health,,
"Michael Kelly, president, Upper Midwest Security Alliance (UMSA)",Michael,,Kelly,president,Upper Midwest Security Alliance (UMSA),,
"Stephen Wu, partner, Cooke Kobrick & Wu LLP.",Stephen,,Wu,partner,Cooke Kobrick & Wu LLP,,
"Denise Wood, CISO, FedEx",Denise,,Wood,CISO,FedEx,,
"Alan Brill, senior managing director, Kroll Cyber Security",Alan,,Brill,senior managing director,Kroll Cyber Security,,
"Joe Gottlieb, vice president of commercial products, KEYW",Joe,,Gottlieb,vice president of commercial products,KEYW,,
"Michael Sutton, vice president of security research, Zscaler",Michael,,Sutton,vice president of security research,Zscaler,,
"Ajay Nawani, chief, Cyberoam Academy",Ajay,,Nawani,chief,Cyberoam Academy,,
"Jeff Combs, LJ Kushner & Associates",Jeff,,Combs,,LJ Kushner & Associates,,
"Mike Potts, president and CEO, Lancope",Mike,,Potts,president and CEO,Lancope,,
"Snorre Fagerland, principal security researcher at Norman ASA",Snorre,,Fagerland,principal security researcher,Norman ASA,,
"Stephen Fridakis, senior IT security officer, Food and Agriculture Organization of the United Nations",Stephen,,Fridakis,senior IT security officer,Food and Agriculture Organization of the United Nations,,
"Parthiv Shah, VP and deputy CISO, technology risk management at The Depository Trust & Clearing Corp.",Parthiv,,Shah,"VP and deputy CISO,technology risk management",The Depository Trust & Clearing Corp,,
Karen Epper Hoffman,Karen,Epper,Hoffman,,,,
"Christa Miller, director of mobile forensics marketing, Cellebrite",Christa,,Miller,director of mobile forensics marketing,Cellebrite,,
Adam Greenberg,Adam,,Greenberg,,,,
"Jamie Manuel, product marketing manager, Dell So",Jamie,,Manuel,product marketing manager,Dell So,,
"Tom Cross, director of research, Lancope",Tom,,Cross,director of research,Lancope,,
"Christine Borgia, senior director, email intelligence group, Return Path",Christine,,Borgia,"senior director,email intelligence group",Return Path,,
"Craig Sprosts, vice president of platforms and applications, Nominum",Craig,,Sprosts,vice president of platforms and applications,Nominum,,
"Jody Brazil, president and chief technology officer, FireMon",Jody,,Brazil,president and chief technology officer,FireMon,,
"Clement Cazalot, CEO, docTrackr",Clement,,Cazalot,CEO,docTrackr,,
"Jim McGann, vice president, Index Engines",Jim,,McGann,vice president,Index Engines,,
"Sam Curry, CTO of identity and data protection, RSA",Sam,,Curry,CTO of identity and data protection,RSA,,
"Giri Sreenivas, general manager of mobile security at Rapid7",Giri,,Sreenivas,general manager of mobile security,Rapid7,,
"Sasan Hamidi, CISO, Interval International",Sasan,,Hamidi,CISO,Interval International,,
"Sagi Leizerov, leader of privacy advisory and assurance services at Ernst & Young",Sagi,,Leizerov,leader of privacy advisory and assurance services,Ernst & Young,,
"David Nathans, CISO, large U.S. defense contractor",David,,Nathans,CISO,large U.S. defense contractor,,
"Chris Mark, PCI national practice director, security consulting services, AT&T",Chris,,Mark,"PCI national practice director,security consulting services",AT&T,,
"Joe Ferrara, president and CEO, Wombat Security Technologies",Joe,,Ferrara,president and CEO,Wombat Security Technologies,,
"Kurt Mueffelmann, CEO, HiSoftware",Kurt,,Mueffelmann,CEO,HiSoftware,,
"Marc Olesen, president and CEO, Averail",Marc,,Olesen,president and CEO,Averail,,
"Omar Khawaja, head of product marketing, Verizon Security Solutions",Omar,,Khawaja,head of product marketing,Verizon Security Solutions,,
"William Ho, president, Biscom",William,,Ho,president,Biscom,,
"Gavin Hill, director of product marketing and threat research center, Venafi",Gavin,,Hill,director of product marketing and threat research center,Venafi,,
